epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1110.3,1.36391,2.72257,1.53218,0.4946,0.48577,0.44637,0.26808,1.55735,2.64297,1.96892,0.000332545,0.000332545,0.000332545
2,2163.14,1.38704,2.03547,1.53234,0.39058,0.43089,0.32656,0.1834,1.62564,2.64425,1.87576,0.000654892,0.000654892,0.000654892
3,3370.42,1.37242,1.91223,1.52485,0.6209,0.53488,0.52996,0.32351,1.54199,2.21779,1.91905,0.000966238,0.000966238,0.000966238
4,4414.26,1.34022,1.8263,1.50178,0.54046,0.51097,0.48801,0.31608,1.50556,2.21611,1.87515,0.0009505,0.0009505,0.0009505
5,5396.98,1.32041,1.71367,1.4853,0.57616,0.48362,0.45159,0.30017,1.50395,2.03522,1.89581,0.000934,0.000934,0.000934
6,6362.55,1.28993,1.64938,1.46476,0.4985,0.47685,0.45591,0.32613,1.46952,2.20926,1.75761,0.0009175,0.0009175,0.0009175
7,7382.84,1.2584,1.57239,1.43963,0.63087,0.59996,0.59787,0.38659,1.39052,1.64832,1.7667,0.000901,0.000901,0.000901
8,8321.21,1.24178,1.51606,1.42313,0.66711,0.5864,0.60038,0.39791,1.37796,1.58228,1.72297,0.0008845,0.0008845,0.0008845
9,9229.5,1.20677,1.46083,1.403,0.66384,0.58029,0.59776,0.39982,1.36518,1.59008,1.70902,0.000868,0.000868,0.000868
10,10141.1,1.19891,1.43123,1.39459,0.69421,0.57537,0.58828,0.3951,1.39735,1.58937,1.76079,0.0008515,0.0008515,0.0008515
11,11045.9,1.18177,1.38217,1.37946,0.67256,0.57299,0.59345,0.40384,1.3366,1.5619,1.7281,0.000835,0.000835,0.000835
12,11983.5,1.16353,1.35388,1.36836,0.65979,0.54238,0.55725,0.39638,1.37825,1.75239,1.72311,0.0008185,0.0008185,0.0008185
13,12907.9,1.14914,1.33281,1.35841,0.66984,0.58279,0.60509,0.41696,1.34797,1.59883,1.71416,0.000802,0.000802,0.000802
14,13846.2,1.12874,1.30245,1.34467,0.67051,0.62065,0.63115,0.42987,1.29947,1.40391,1.71382,0.0007855,0.0007855,0.0007855
15,14762.9,1.12877,1.28258,1.33926,0.58414,0.56856,0.55579,0.38835,1.34938,1.77068,1.70782,0.000769,0.000769,0.000769
16,15707.3,1.12713,1.26438,1.33766,0.61814,0.63007,0.60305,0.41178,1.30324,1.46499,1.70589,0.0007525,0.0007525,0.0007525
17,16616.3,1.1124,1.23449,1.33311,0.62958,0.6269,0.62854,0.42464,1.33222,1.42484,1.71739,0.000736,0.000736,0.000736
18,17586.6,1.10307,1.22526,1.32711,0.66121,0.61974,0.62403,0.42838,1.30583,1.46676,1.71204,0.0007195,0.0007195,0.0007195
19,18568.7,1.09026,1.20229,1.31657,0.72017,0.62033,0.66764,0.4552,1.2656,1.30825,1.70409,0.000703,0.000703,0.000703
20,19504,1.06561,1.17865,1.29978,0.67292,0.57575,0.60566,0.41676,1.33121,1.48181,1.74363,0.0006865,0.0006865,0.0006865
21,20408.4,1.05722,1.1571,1.29489,0.69018,0.61439,0.65539,0.44846,1.27734,1.30042,1.68147,0.00067,0.00067,0.00067
22,21379.1,1.07501,1.1708,1.29844,0.70175,0.62915,0.66406,0.45448,1.29467,1.31133,1.66416,0.0006535,0.0006535,0.0006535
23,22272.6,1.06224,1.14642,1.29944,0.70536,0.60063,0.6374,0.44404,1.29102,1.43177,1.67857,0.000637,0.000637,0.000637
24,23196.3,1.04784,1.13271,1.28706,0.72124,0.61544,0.65894,0.45767,1.27919,1.29587,1.67427,0.0006205,0.0006205,0.0006205
25,24088.7,1.02364,1.10946,1.2774,0.72629,0.61266,0.66789,0.46053,1.27285,1.27994,1.72287,0.000604,0.000604,0.000604
26,25065.4,1.0442,1.0892,1.27427,0.67211,0.56065,0.58265,0.42336,1.31895,1.65614,1.67926,0.0005875,0.0005875,0.0005875
27,25961.4,1.02433,1.07332,1.27071,0.71258,0.60836,0.65925,0.46471,1.26407,1.2413,1.6706,0.000571,0.000571,0.000571
28,26886.3,1.01295,1.06577,1.26493,0.7042,0.6358,0.67353,0.46783,1.25073,1.24162,1.64586,0.0005545,0.0005545,0.0005545
29,27779.7,1.00255,1.02813,1.2531,0.72926,0.61328,0.66821,0.46157,1.29728,1.26318,1.67487,0.000538,0.000538,0.000538
30,28670.3,0.98606,1.01599,1.24443,0.72485,0.65967,0.69923,0.48187,1.24915,1.11902,1.69583,0.0005215,0.0005215,0.0005215
31,29568,1.01109,1.01886,1.25413,0.73674,0.609,0.67006,0.46199,1.28018,1.3498,1.63645,0.000505,0.000505,0.000505
32,30492.5,0.99648,1.02237,1.24545,0.68688,0.64785,0.66619,0.46738,1.273,1.23429,1.69126,0.0004885,0.0004885,0.0004885
33,31382.5,0.98949,1.0103,1.24767,0.71224,0.66025,0.68616,0.47679,1.29018,1.1492,1.74166,0.000472,0.000472,0.000472
34,32282.5,0.97229,0.97334,1.23118,0.72613,0.65627,0.70889,0.48594,1.25357,1.0776,1.69566,0.0004555,0.0004555,0.0004555
35,33172,0.98035,0.97436,1.23566,0.73753,0.64755,0.68881,0.47654,1.27175,1.12944,1.72425,0.000439,0.000439,0.000439
36,34076.9,0.97085,0.96772,1.23346,0.75705,0.62162,0.69159,0.48253,1.25638,1.14594,1.66976,0.0004225,0.0004225,0.0004225
37,34963.9,0.97031,0.95886,1.23255,0.73751,0.64501,0.68684,0.4776,1.25586,1.114,1.70789,0.000406,0.000406,0.000406
38,35863.2,0.95614,0.93987,1.22182,0.76448,0.64912,0.69033,0.48044,1.26487,1.14017,1.73607,0.0003895,0.0003895,0.0003895
39,36756.5,0.9474,0.92875,1.21264,0.75696,0.63824,0.68987,0.48113,1.2675,1.16499,1.7654,0.000373,0.000373,0.000373
40,37676.1,0.94593,0.91903,1.21336,0.75678,0.64165,0.68669,0.47953,1.25916,1.12825,1.72385,0.0003565,0.0003565,0.0003565
41,38603.7,0.9384,0.89915,1.20701,0.78195,0.62787,0.69364,0.48448,1.2457,1.1821,1.68096,0.00034,0.00034,0.00034
42,39559.2,0.93174,0.9005,1.20045,0.74073,0.64647,0.68847,0.48144,1.24311,1.17924,1.67637,0.0003235,0.0003235,0.0003235
43,40470.5,0.92379,0.88852,1.20385,0.79504,0.61145,0.68718,0.48678,1.24407,1.14428,1.6829,0.000307,0.000307,0.000307
44,41369.7,0.9296,0.89383,1.20608,0.72412,0.67286,0.69623,0.49063,1.24756,1.13031,1.68127,0.0002905,0.0002905,0.0002905
